version,importer_version,source_key,season_type,canonical_gender_code,canonical_event_code,section,source_table_index,source_row_index,source_cells,source_line,raw_mark,normalized_mark,mark_flags,pending_ratification,indoor_mark_flag,altitude_flag,secondary_listing,outside_regular_collegiate_season,holder,school,record_date_text,source_as_of,source_url,local_html_sha256,parser_method,anchor_status,selection_policy,performance_count
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,200M,track,1,7,"200 || 19.95 || Garrett Kaalund (USC) || Fayetteville, Arkansas || 3/14/26","200 19.95 Garrett Kaalund (USC) Fayetteville, Arkansas 3/14/26",19.95,19.95,,False,False,False,False,False,Garrett Kaalund,USC,3/14/26,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,79748
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,3000M,track,1,20,"3000 || 7:30.15 || Ethan Strand (North Carolina) || Boston, Massachusetts || 12/07/24","3000 7:30.15 Ethan Strand (North Carolina) Boston, Massachusetts 12/07/24",7:30.15,450.15,,False,False,False,False,False,Ethan Strand,North Carolina,12/07/24,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,68362
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,300M,track,1,8,"300 || 31.99 || Jacory Patterson (Florida) || Clemson, South Carolina || 1/15/22","300 31.99 Jacory Patterson (Florida) Clemson, South Carolina 1/15/22",31.99,31.99,,False,False,False,False,False,Jacory Patterson,Florida,1/15/22,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,7854
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,400M,track,1,9,"400 || 44.49 || Christopher Morales Williams’ (Georgia) || Fayetteville, Arkansas || 2/24/24","400 44.49 Christopher Morales Williams’ (Georgia) Fayetteville, Arkansas 2/24/24",44.49,44.49,,False,False,False,False,False,Christopher Morales Williams’,Georgia,2/24/24,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,72348
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,5000M,track,1,22,"5000 || 12:57.14 || Nico Young (Northern Arizona) || Boston, Massachusetts || 1/26/24","5000 12:57.14 Nico Young (Northern Arizona) Boston, Massachusetts 1/26/24",12:57.14,777.14,,False,False,False,False,False,Nico Young,Northern Arizona,1/26/24,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,28070
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,500M,track,1,11,"500 || 1:00.63 || Brycen Spratling (Pitt) || New York, New York || 2/19/12","500 1:00.63 Brycen Spratling (Pitt) New York, New York 2/19/12",1:00.63,60.63,,False,False,False,False,False,Brycen Spratling,Pitt,2/19/12,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,13974
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,600M,track,1,13,"600 || 1:14.67 || Miles Brown (Michigan) || Indianapolis, Indiana || 2/28/26","600 1:14.67 Miles Brown (Michigan) Indianapolis, Indiana 2/28/26",1:14.67,74.67,,False,False,False,False,False,Miles Brown,Michigan,2/28/26,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,10238
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,60H,track,1,24,"60 Hurdles || 7.32 || Ja’Kobe Tharp || Fayetteville, Arkansas || 3/14/26","60 Hurdles 7.32 Ja’Kobe Tharp Fayetteville, Arkansas 3/14/26",7.32,7.32,,False,False,False,False,False,Ja’Kobe,,3/14/26,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,84213
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,60M,track,1,4,"60 || 6.45(A) || Leonard Myles-Mills’ (BYU) || Colorado Springs, Colorado || 2/20/99","60 6.45(A) Leonard Myles-Mills’ (BYU) Colorado Springs, Colorado 2/20/99",6.45,6.45,(A),False,False,True,False,False,Leonard Myles-Mills’,BYU,2/20/99,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,113685
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,800M,track,1,14,"800 || 1:44.70 || Colin Sahlman (Northern Arizona) || New York, New York || 2/01/26","800 1:44.70 Colin Sahlman (Northern Arizona) New York, New York 2/01/26",1:44.70,104.7,,False,False,False,False,False,Colin Sahlman,Northern Arizona,2/01/26,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,66073
